配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
2082,3518HFJDF,瑞立,只,,0,0,继动阀,,,01,01
2083,3518kc-bZ27JDF,瑞立,只,,0,0,继动阀,,,01,01
2084,3518KD-AJDF,瑞立,只,,0,0,继动阀,,,01,01
2085,3518KD-BJDF,瑞立,只,,0,0,继动阀,,,01,01
2086,3518KE-AJDF,瑞立,只,,0,0,继动阀,,,01,01
2087,3518KE-BJDF,瑞立,只,,0,0,继动阀,,,01,01
2088,3518KEJDF,瑞立,只,,0,0,继动阀,,,01,01
2089,3518KG-AomJDF,瑞立,只,,0,0,继动阀,,,01,01
2090,3518KG-bBQJDF,瑞立,只,,0,0,继动阀,,,01,01
2091,3518MAJJJDF,刹车王,只,,0,0,紧急继动阀,,,01,01
2092,3518NDJDF,瑞立,只,,0,0,继动阀,,,01,01
2093,3518PAJDF,瑞立,只,,0,0,继动阀,,,01,01
2094,3518PBJDF,瑞立,只,,0,0,继动阀,,,01,01
2095,3518XBJDF,瑞立,只,,80,0,继动阀,,,01,01
2096,3518XDJDFSDWJDF,瑞立,只,,0,0,继动阀,,,01,01
2097,3518XDSDJDF,瑞立,只,,0,0,继动阀,,,01,01
2098,3518YAWJDF,瑞立,只,,0,0,继动阀,,,01,01
2099,3518YGAWJDF1,瑞立,只,,155,0,继动阀,,,01,01
2100,3518YgWJDF1AWJDF,瑞立,只,,155,,继动阀,,,01,01
2101,3518ZB-AJDF,瑞立,只,,0,0,继动阀,,,01,01
2102,3518ZBJDF,瑞立,只,,0,0,继动阀,,,01,01
2103,3519-105PW,皮碗,只,,0,10,皮碗,,,01,01
2104,3519205PW,皮碗,只,,0,0,皮碗,,,01,01
2105,3519CF3-327-AHPW,皮碗,只,,0,0,皮碗,,,01,01
2106,3519MB-045PW,皮碗,只,,0,10,皮碗,,,01,01
2107,35260050280J6SKF,手控阀,只,,,0,手控阀,,,01,01
2108,3526BAJHSKF,手控阀,只,,0,0,手控阀,,,01,01
